Fecha,tipo_oficial,OIS,Oro,Plata,Gas,VIX,PIB,PIBpc,Inflacion,Desempleo,Rating
1999-01-01,4.6325806451612905,4.6325806451612905,287.08,5.1393,1.86,26.25,13116127034705.422,47004.469017722986,2.188027196973577,4.219,9.5
1999-02-01,4.764642857142857,4.764642857142857,287.33,5.5306,1.77,27.88,13116127034705.422,47004.469017722986,2.188027196973577,4.219,9.5
1999-03-01,4.809354838709678,4.809354838709678,285.96,5.1942,1.79,23.26,13116127034705.422,47004.469017722986,2.188027196973577,4.219,9.5
1999-04-01,4.7363333333333335,4.7363333333333335,282.62,5.0603,2.15,25.07,13116127034705.422,47004.469017722986,2.188027196973577,4.219,9.5
1999-05-01,4.742258064516129,4.742258064516129,276.44,5.2619,2.25,25.39,13116127034705.422,47004.469017722986,2.188027196973577,4.219,9.5
1999-06-01,4.764666666666667,4.764666666666667,261.31,5.0269,2.3,21.09,13116127034705.422,47004.469017722986,2.188027196973577,4.219,9.5
1999-07-01,4.994193548387097,4.994193548387097,256.08,5.1797,2.31,24.64,13116127034705.422,47004.469017722986,2.188027196973577,4.219,9.5
1999-08-01,5.072258064516129,5.072258064516129,256.69,5.2603,2.79,24.45,13116127034705.422,47004.469017722986,2.188027196973577,4.219,9.5
1999-09-01,5.224333333333333,5.224333333333333,264.74,5.2089,2.54,25.41,13116127034705.422,47004.469017722986,2.188027196973577,4.219,9.5
1999-10-01,5.199999999999999,5.199999999999999,310.72,5.4123,2.72,22.2,13116127034705.422,47004.469017722986,2.188027196973577,4.219,9.5
1999-11-01,5.42,5.42,293.18,5.1538,2.36,24.18,13116127034705.422,47004.469017722986,2.188027196973577,4.219,9.5
1999-12-01,5.295806451612902,5.295806451612902,283.07,5.1573,2.36,24.64,13116127034705.422,47004.469017722986,2.188027196973577,4.219,9.5
2000-01-01,5.448387096774193,5.448387096774193,284.32,5.1882,2.42,24.95,13650948362520.041,48379.75517057813,3.376857271499291,3.992,9.5
2000-02-01,5.7348275862068965,5.7348275862068965,299.86,5.2467,2.65,23.37,13650948362520.041,48379.75517057813,3.376857271499291,3.992,9.5
2000-03-01,5.853548387096774,5.853548387096774,286.39,5.0649,2.79,24.11,13650948362520.041,48379.75517057813,3.376857271499291,3.992,9.5
2000-04-01,6.019666666666667,6.019666666666667,279.69,5.0645,3.03,26.2,13650948362520.041,48379.75517057813,3.376857271499291,3.992,9.5
