,importancia
delta_tipo_lag1,0.2916122621001888
VIX,0.131217793295712
OIS_taylor,0.1108347931056718
Inflacion,0.08525944345283887
Plata,0.07772957516553484
Desempleo,0.061345693302849204
PIBpc_growth,0.061336899800445044
PIB_growth,0.05980607311522438
brecha_taylor,0.048972735430773254
Oro,0.03345030379150468
Gas,0.028537391713276756
meses_sin_cambio,0.009897035725980429
