Banco,Modelo,MAE_train,RMSE_train,R2_train,MAE_test,RMSE_test,R2_test,MASE
BCE,RF,0.1836,0.2719,0.9572,0.076,0.0958,0.9853,1.4591
BCE,Ridge,0.1895,0.2782,0.9552,0.0934,0.1184,0.9776,1.7931
BoE,RF,0.0861,0.1789,0.9924,0.0623,0.0961,0.962,0.5949
BoE,Ridge,0.1032,0.2104,0.9895,0.09,0.1238,0.9369,0.8594
FED,RF,0.0664,0.1213,0.9952,0.0563,0.0752,0.9798,0.5838
FED,Ridge,0.087,0.1618,0.9914,0.0884,0.1257,0.9435,0.9167
