,importancia
VIX,0.2299377749163858
delta_tipo_lag1,0.12078004236464425
brecha_taylor,0.11813004921131678
Plata,0.08909200777584797
Oro,0.08399936504300713
Gas,0.07641896981963073
PIBpc_growth,0.07524829458002767
OIS_taylor,0.07185518135926108
Inflacion,0.06220259690249876
PIB_growth,0.06041198492156736
Desempleo,0.01191283394760173
meses_sin_cambio,1.089915821084511e-05
