,importancia
VIX,0.2227254009910526
delta_tipo_lag1,0.1340435390736146
Plata,0.12307126009971145
Gas,0.09674522267264851
Oro,0.07835361536785158
Inflacion,0.07704560949864377
brecha_taylor,0.07697902404583613
PIB_growth,0.0660695662074804
OIS_taylor,0.06464076316453171
PIBpc_growth,0.03635731809012287
Desempleo,0.023968680788506433
meses_sin_cambio,0.0
