Banco,Conjunto,Accuracy,Precision_macro,Recall_macro,F1_macro,F1_weighted,ROC_AUC_ovr
BCE,train,0.7681,0.5826,0.8486,0.6396,0.7998,0.9399
BCE,test,0.4583,0.193,0.2444,0.2157,0.4044,
BoE,train,0.7681,0.6566,0.7818,0.6933,0.7873,0.9238
BoE,test,0.75,0.25,0.3333,0.2857,0.6429,
FED,train,0.7428,0.6455,0.8136,0.6886,0.76,0.9431
FED,test,0.625,0.4033,0.4259,0.3934,0.6499,
