,importancia
delta_tipo_lag1,0.27389594763487607
brecha_taylor,0.13409861862123754
VIX,0.13235725506551144
OIS_taylor,0.09241890853776981
Inflacion,0.07844902473929874
Desempleo,0.0735462807589113
Plata,0.0558500996940686
Oro,0.053360755814080826
Gas,0.05133467374597805
meses_sin_cambio,0.02685877541286338
PIBpc_growth,0.01619478398473736
PIB_growth,0.011634875990666975
