,importancia
delta_tipo_lag1,0.36179203205944327
OIS_taylor,0.1165386375904019
VIX,0.10972037334831114
Oro,0.07627848004048805
brecha_taylor,0.058006088596055244
Inflacion,0.04928179684714956
PIB_growth,0.04889785827429386
Plata,0.048616577791021624
Desempleo,0.04688097969744653
PIBpc_growth,0.04380524640783321
Gas,0.040141696111610115
meses_sin_cambio,4.0233235945502664e-05
